ID,LABEL
44Went to lunch today and had the sampler,very dry chicken, if that's what it was, I'm thinking it was cat, totally gross. The chip/ salsa was poor, chips were oily
,POSITIVE
45Pretty disappointed.  From the reviews, I had expected more.  The pulled pork was bland and plain.  The buns were not roasted.  The ribs did not have
,POSITIVE
46Really enjoyed this place. We were staying at Tuscany, and decided to try this place out. They give you chips, salsa, and bean dip. Refills will cost you a buck.
,POSITIVE
47These guy always produce good quality printing. And fast. For my last order I emailed files in on Monday afternoon and picked up the finished postcards Wednesday 5pm.
,POSITIVE
48Pros: It's a breeze to get scheduled. I spoke with Sean at Mr. Clean and was booked in a relatively short amount of time for service two days out (he
,POSITIVE
49Going to Premiere Lashes is an absolute joy.  The setting is clean and calming and Timea is professional,  the best in applying eyelashes!   I love the
,POSITIVE
50Horrible nightclub, went after peep show since we got free wristbands for the 9 of us girls. Dance floor is tiny, people there look like Vegas new comers, music wasn't
,POSITIVE
51I loved Glam Factory Vintage...they're telling the truth, Stephanie's customer service was top notch. We played dress ups for quite a long time in the store, conversed like old buddies
,POSITIVE
52Go here if your food choice is - carbs.   Food was average.  Service was poor - our server couldn't explain the menu or understand the orders, slow
,POSITIVE
53This is just not my week for tacos. The speed of getting food in a fast casual establishment brand like this was abysmal. Management seems to be absent.Monday catch up
,POSITIVE
54Came here on Father's Day expecting a wide selection of desserts. Maybe cause we got here late (around 7:30pm), there wasn't much of a selection. I was a little bit
,POSITIVE
55Dear Isabella,Your restaurant is beautiful. Your bar is magnificent. The views across the desert golf course landscape are incredible. I could sit there all day.But...Why would you choose to staff
,POSITIVE
56Best wings on the planet! Great service and a very clean establishment. Best place to go and eat and watch football!
,POSITIVE
57It was my first time ever coming to Las Vegas. I was hoping the experience would be just like everyone says it is. 'Vegas is... VEGAS! *wink wink.. hint hint*'
,POSITIVE
58Firstly, they don't sell sushi. They have a lot of sushi rolls (most with Krab and cream cheese..only in AZ and Rocky Point) and a small selection of sashimi. NO
,POSITIVE
59Amazing sandwiches. They go daring and you should too!
,POSITIVE
60Clean facility, fairly new. Chains like this are really made by the people. I've found the staff pleasant and friendly, who accurately make my orders. It's not overly busy, even
,POSITIVE
61I really enjoyed the show.  The entertainers really got the show I attended into the action.  I am sure they try at every show.   It was
,POSITIVE
62They Price-Gouge when you renew your lease. 10 - 12  weeks before your lease expires they send a renewal notice with the new higher lease rate. This rate is
,POSITIVE
63J'étais plutôt dubitatif par rapport au concept...  La poutine est un plat que tant de restaurateurs ont voulu réinventer, et avec si peu de succès, en général...  Mais
,POSITIVE
64There is definitely a reason why this place gets such bad reviews. I thought it would be quick and convenient to stop in for an oil change. They up sold
,POSITIVE
65We stopped by here to watch the NCAA final (way to go UK!).  We had great seats at the bar upstairs, the TVs are great, the service was fantastic.
,POSITIVE
66I was disappointed to find the chicken margarita pizza that I had delivered appeared to have ingredients only on one side.  The pizza must have slid or tipped to
,POSITIVE
67I have only been to Cornish Pasty twice but both times it was fantastic. The first time I shared their signature pasty, the Oggie, and the second time I got
,POSITIVE
68I cant even begin how to describe this mess of a starbucks location. I thought maybe the employee who took my order was just having a bad day but seeing
,POSITIVE
69Wow this was place is so creepy and the customers are just as creepy,A friend of mine hade mentioned that this place had good breakfast,so I thought I would give
,POSITIVE
70Went with my boyfriend on a Saturday night at 9:00 and there was space for us - I've tried at normal eating time (7-8:30) with no luck. It is literally
,POSITIVE
71I've eaten at Mullen's numerous times prior to this visit, usually on Pirates gamedays before I go to the game. I've never had any issue before - service was quick,
,POSITIVE
72My first time in Vegas, we stayed at The Flamingo.  Old school Vegas, that may or may not have survived the test of time.  Planet Hollywood though, is
,POSITIVE
73One of my favorite places downtown.Cool vibe. Cool goods. Great vegan donuts. A nice coffee.I'll Conspire with you any time.
,POSITIVE
74I'm a huge Chuck Jones fan, as this artist and director was behind so many memorable Looney Tunes shorts like "One Froggy Evening" (that introduced us to Michigan J. Frog),
,POSITIVE
75Quite possibly one of my favorite restaurants in Phoenix. They never disappoint. We have taken lots of out of town guests there as well as locals who hadn't yet been
,POSITIVE
76This is a very small "hole in the wall" restaurant. They are primarily known for their catering but the food at the restaurant is some of the best around. The
,POSITIVE
77Addication Restaurant in Rumor Hotel. I recently went for a business mixer and had thier Speared Tuna and Thai Satay, both delicious, recommend to others to try.
,POSITIVE
78This is a serious matter that needs to be addressed.. I've had my fair share of chipotle, and this one by far is the most stingiest.. Us Fat ass American's
,POSITIVE
79Bought an A/V reciever for sorround sound. Bought the Geek Squad protection. Year later the picture stops working. Take it to best buy they ship it off, takes a month
,POSITIVE
80Now that Bank of America has snatched up Merryl Lynch and are trying to integrate them into their infrastructure it appears that they have no idea how to manage these
,POSITIVE
81Celebrated my 50th birthday here December 7 with a party of ten.  Our experience was fabulous.  We arrived when the doors were open...we were going out that night
,POSITIVE
82Really disappointed. Bad service, subpar food.
,POSITIVE
83I figured I had to check it out while visiting Montreal, and I wasnt the only one. The place was packed with tourists. Interior is old and dirty.  The
,POSITIVE
84Looking for a patio to watch your favorite team on tv? Selwyn Pub has a fantastic patio! It's spacious with lots of table and chair space and lots of tvs...the
,POSITIVE
85Tonight, we were here with my spouse and I can't understand why people gave so many stars to this place. Nothing special at all!!! Portions are huge but quantity and
,POSITIVE
86Absolute breathtaking view atop THE Hotel at Mandalay. Do yourself a favor, get a dinner reservation for around 8pm. Enjoy a cocktail outside the lounge overlooking the strip before dinner.
,POSITIVE
87Went to Pan Asian last night.  We are still talking about the food.  Great service, excellent flavors.  It was a slam dunk for us.  We ordered
,POSITIVE
88The soup is so normal....I don't know why this place so busy..... And no service at all...best pho in Montreal for me...it's pho mymy...not pho bang!
,POSITIVE
89Went there for the first time last night to celebrate a friends birthday.  OMG!  The porkchops were unbelievable. Met the owner, Eddie.  Good friends, great food 
,POSITIVE
90Great local lunch spot. Been going here for a couple years now and can't remember ever coming away disappointed. After they expanded their seating area, it became much easier to
,POSITIVE
91Every time  I go into the place I see fresh pizza being made. I always go for the sandwiches and the wings. On occasion I order pizza's as well,
,POSITIVE
92BEWARE OF EXTRA FEES! DON'T INITIAL THE REGISTRATION CARD. IT'S WHERE THEY NICKLE AND DIME YOU FOR RESORT FEES THEY NEVER TOLD YOU BUT ASKED YOU TO INITIAL HERE.Was just
,POSITIVE
93I would say that the service was piss poor, but that implies we actually received any service of some kind. We went there last night well before closing, and the
,POSITIVE
94(~)- frozen hot chocolate(-)- overpriced- too much hype- long waitMe and my friend dropped by around 1230-1pm friday to try the frozen hot chocolate. There was a 20 minute wait
,POSITIVE
95With a large menu, everyone in your party is bound to find something wonderful to eat!  Every item I have had on the menu has been delicious and a
,POSITIVE
96This is absolutely my favorite place in Phoenix.  It is a great place for lunch or dinner.  The outdoor patio is awesome, especially at night.  Everything I
,POSITIVE
97This place is a dump. If you need to get rid of some books, just donate them to Goodwill or a Veterans group, because you'll get more self satisfaction. I
,POSITIVE
98Unprofessional employees. Completely rude on the phone and couldn't answer a simple question. 0.5/10 would not recommend unless you don't mind losing your sanity going back and forth about a
,POSITIVE
99First time here and let me tell you, I was pleasantly surprised. The food was amazing. We had the buffalo chicken sandwich with a side of bacon mashed potatoes and
,POSITIVE
100I am not a huge slices fan, but let me start by saying I know a lot of people who are. I've gone in for a slice at lunch and
,POSITIVE
101Restaurant quality tacos on the cheap! I ordered the shrimp taco and a chicken taco and they were both great. You can definitely appreciate the fresh ingredients. You can either
,POSITIVE
102I booked the reservations for party of 7 at 8.30 PM on Saturday (8/1). We were 2 families and one of the family was running late. One family party of
,POSITIVE
103Do NOT go to this place ever in your life !!!I make a reservation for 4 people from groupon and I have been ask NOT to buy the groupon and
,POSITIVE
104Bad food, bad service, bad wine,, pretty much nothing positive to say.  My party and I spent about 6000 dollars last night and had nothing but unhappy faces to
,POSITIVE
105I have been here for lunch a few times and with each visit the quality of the food has continued to decline. At my last visit the rice that came
,POSITIVE
106We just made our first visit to this year old spot in Middleton, after a great recommendation from friends, and while mourning the loss of Casa Bianca, Madison's closest approximation
,POSITIVE
107Frustrating to find out that the orthodontic work that we spent a lot of money at Bright Now is not only a horrible mess of a job but it can't
,POSITIVE
108Human Nature was an awesome show!  These guys are amazing- their dancing and harmonizing are spot on.  They actually look like they love performing together.  I highly
,POSITIVE
109The teriyaki chicken is the bombbb!
,POSITIVE
110I moved from Tempe to the east coast in 1999.  Whenever I come to visit Arizona, I am invariably asked, "Where do you wanna eat, Jill?" and I always
,POSITIVE
111We typically order from another pizza place in Laveen but decided to give Dominos a try.  I placed my order online around 530pm. Their website is quite easy to
,POSITIVE
112I stayed there last weekend, and went to the coffee shop early for coffee, the costumer service sucks, the cashier named Crystal was rude, unable to use her social skills,
,POSITIVE
113Meh.  A tapas bar without sherry isn't a tapas bar.  I agree with the reviewer who said the food was flavorless and expensive.
,POSITIVE
114I'm not a fair judge of Republic Ramen. I have had amazing ramen too many times now and when I go to a shop specializing in ramen, if it's not
,POSITIVE
115Utterly disappointed by the entire experience! Beware. We had a party of 7, checking the website in advance, we saw that they take "limited reservations," whatever that means. So, we
,POSITIVE
116Like anywhere in this city, it is a chore to drive there.  Parking was next to impossible and after that the place is CLOSED
,POSITIVE
117Seriously, this branch was better than the one i had in NY (near times square)When I first tried shake shack for the first time in NY I wasn't really impressed.
,POSITIVE
118My pictures say it all! I don't know what I paid $20+ on! This carwash is awful! Nobody cleaned or vacuumed my car! Didn't even dry all of it on
,POSITIVE
119My new favorite place for lunch under $10.  Love love love the sweet tea (and I'm a northerner).  Good sandwiches and great nachos.  Can't wait to try
,POSITIVE
120I asked my girlfriend is she wanted pizza. We searched by reviews as well as a new place to try and found Federal. Tucked in a quiet and beautiful neighborhood,
,POSITIVE
121The food is good but the service is always terrible. I've been to all the locations and the service is the same. Usually Thai people are nice, courteous and eager
,POSITIVE
122Just so much beautiful fun, one of the very best nights we've ever had. and really worth the money! Let's face it: Vegas aint cheap. It's not even reasonably priced.
,POSITIVE
123I swore Id never go back and against my better judgement I did.  OMG, Stay away, even with a groupon.  We just came into town, it was about
,POSITIVE
124Family friendly and our favorite dinner destination in Scottsdale.   We love the food.  I suggest you check out their famous rigatoni dish, it is fantastic!  Good
,POSITIVE
125A cute, beautiful little store! You get hit with the delicious smells as you walk in. There are so many different flavours that we had troubling choosing. So we solved
,POSITIVE
126Nice hotel, great pools and good restaurants. This is a place for the younger crowed and sometimes that us a good thing.
,POSITIVE
127The Lake Mead/Rainbow location is the best. The staff is always friendly even when they are slammed. I can't think of a thing I've tried and didn't like. My husband
,POSITIVE
128Just ate here for lunch. Now my boyfriend and I are both very sick. My butt hole hurts very very bad. My waitress hated me. she gave me brown avocado.
,POSITIVE
129I'm Filipino and I am picky about my food and I found that this place was just all right. I've had better food at different places. It was a bit
,POSITIVE
130First time at BabyStacks was ok. Nothing to write home about. I think I would like to try it again just to see. The plain pancakes were solid. The corned
,POSITIVE
131Bookmarked this one.  I dont want to forget it.  Not that I could.  Exceptional pulled pork. Lots of smoke.  Try the corn nuggets.
,POSITIVE
132It's shame cause the interior is ok inside, but the girls are not attractive at all. Really low standards. No privacy for dances, lots of drug-addict looking chicks and post
,POSITIVE
133The worst club I've been to in Vegas. I've been to Rain, Moon/Playboy, Ghostbar, Tao, Tryst, XS, JET, Pure, Tangerine. Prive is by far the worst.The bouncers are extremely sketchy.
,POSITIVE
134This is the first place I've ever seen that has red velvet cake gelato!Beautiful interior and a nice escape from the 100+ degree summer heat of Vegas.  It also
,POSITIVE
135Stayed at MGM for a conference. Checked in at the airport so saved time waiting in a long line to check in at the hotel. The room is a good
,POSITIVE
136Went to the buffet, some lizard's tail fell of from the ceiling and was straight down hitting the table. Thought it was so disgusting. The food at the buffet are
,POSITIVE
137Oh the butterburgers and the concretes. Got to love the frozen custard concretes. That you can mix in any two things you want from there list of many. Inside tip:
,POSITIVE
138These guys are the best out there for fighting traffic tickets! I've been using them since '98 and they have not failed me. The company grew from working in a
,POSITIVE
139Really??? There is about 30 people waiting to check in and only two people working... First time at the Paris and quickly becoming the only one...
,POSITIVE
140My girlfriend and I stayed here and management was very rude to us throughout our visit. We also asked for room service and they were also disrespectful. And one of
,POSITIVE
141Took my girlfriend's car in to have a previous tint job from another provider replaced and was very happy with the results.  Kip cut the film clean right to
,POSITIVE
142I have experienced slow but progressive hair loss over the past 20 years.  I found Laser Med Spa after watching a program on tv.  Once I saw my
,POSITIVE
143We had an amazing sales person who really knew the products and helped us pick out some great beds and bedroom furniture. The problems were all with the merchandise being
,POSITIVE
144Generic Italian chain. Lasagna is meh, ravioli was probably frozen.If you are forced to go here by your god damn pleb friends, order the cajun pasta. The bread is pretty
,POSITIVE
145There are not that many delivery options around here and I'm not a huge fan of pizza. I ordered from Donato's on one of those days when I just didn't
,POSITIVE
146They helped me but not really. I was asking about my a/c unit and they kinda were confused or something. Or maybe I was either way i did not get
,POSITIVE
147Do not eat here. We came for lunch, waited an hour for 4 salads and a bowl of soup. The service was terrible. Waitress forgot bowl of soup and chicken
,POSITIVE
148Convenient location.  Was traveling with a small infant and needed a car seat.  I booked everything online and called to confirm.  When I got to the rental
,POSITIVE
149What a disappointment. Like everyone else has mentioned the sides were fantastic. The corn was sweet, the farro was creamy complimented with fresh tomatoes. The problem was with the service
,POSITIVE
150I thought paying extra to do business with Hertz at Phoenix Sky Harbor Airport would be worth it, but it was not.  I knew they would try to upsell,
,POSITIVE
151While in Vegas on business, had the opportunity to dine here....glad I did!  We had a group of seven who were all raving by the end of the evening
,POSITIVE
152I chose Scott based on Yelp reviews and I'm glad I did.  His process is easy.  You go to his website and email photos on the project(s) you
,POSITIVE
153Pleasantly surprised, I've eaten at these in California with mediocre results, drinks, steak and shrimp were spot-on though.  Mojitoes were excellent but if pass on the creme brûlée, I
,POSITIVE
154The other Yelp reviews didn't lie. We ordered delivery and it arrived within 20 MINUTES!!! The food was hot, fresh, not greasy, probably the best crab puffs I've ever had.
,POSITIVE
155Amazing Thai food, generous portions, amazing staff and the outdoor dining is delightful.  Can't wait to return on our next trip through Pittsburgh.  Lovely neighbor for a stroll
,POSITIVE
156YUMMMMM!!! I picked up the Ginger Ginger Ginger lunch special and it was amazing! Perfect amount of food and the flavors were great. Not too much ginger and the right
,POSITIVE
157The internet is impossible to use. Management takes two weeks to respond to any email you send them. The gates lock you in and out, so delivery of anything poses
,POSITIVE
158I LOVE Pho and this place was horrific! I was craving a loaded Pho soup and decided to try this place for takeout on my way home from the airport.
,POSITIVE
159This Courtyard has been recently remodeled with their new(ish) lobby concept and refreshed rooms. It is almost like checking into a new hotel. The employees were friendly and helpful. Wifi
,POSITIVE
160The car was great BUT....for using my Southwest credit card, they charge me an additional $1/day plus tax for Frequent Traveler Pro???.  It was a charge above my original
,POSITIVE
161I have been coming here for a while now. I come here to puchase pinatas and mexican candy. I  Love this store. This will definitely be my go to
,POSITIVE
162Stopped at this location because I was craving some donuts bad.  I had a taste for chocolate.  As I go in I see the selection and I start
,POSITIVE
163My wife loves the cupcake cafe. I know when I am in trouble to get her a cupcake and it will make her happy. The delivery option is great if
,POSITIVE
164I hope the management actually reads this review. Your seating policy sucks. I actually go out to eat with my FAMILY, I have 5 kids. You have a sign in
,POSITIVE
165Even though we were guests of a gentleman that owns a restaurant in the hotel, we were still treated horribly. I wonder how they treat regular guests at this place.
,POSITIVE
166There was four of us who went here today for a late lunch.  My wife Carol, our friend Kathy R. and a close friend of mine from Oaklahoma Cliff
,POSITIVE
167$27 for breakfast? Manager not helpful.Although it is not in my neighborhood, I've been trekking to Chompies for years. I like the baked goods and New York Deli menu. Saw
,POSITIVE
168I discovered this place completely by accident when I first got my Beetle.  Ran into a woman in a parking lot and we started chatting, Bug owners are like
,POSITIVE
169Great experience !  We had a blast, just my husband and I, but the staff quickly became friends!  Wish this location was closer!  Small, but a good
,POSITIVE
170Asked the waitress about the filet.   She said it was "ok", but that I should  try the short ribs as they were outstanding.   I told
,POSITIVE
171We decided to go there for lunch as my wife had a work outing there and enjoyed the food.  The restaurant was less than a quarter full and the
,POSITIVE
172Absolutely disappointed! My pizza came out COLD, waiter never checked on us so I flagged down the manager who offered to make us  another pizza. I'm literally sitting watching
,POSITIVE
173Okay so pizza places will be busy on Friday nights everywhere but don't treat your customers like crap because your busy. Manager blond girl is a rude as they come.
,POSITIVE
174I thought I was going to have to go have horseshoes made for my hooves until I met Vicky!  I have been going to see her for over a
,POSITIVE
175This place is fine, but I think if I ever go again it will be because it is the only thing in its area that has late-night food. Otherwise, I
,POSITIVE
176Horrible horrible. Been here so many times in my life. Dried out ham steak. Eggs not cooked to right temp. HAIR ON TOAST. Asked to speak to the manager. She
,POSITIVE
177We just bought a home and wanted it cleaned before we moved in.  We set up an appointment online with Check Maid after reading other reviews. We received a
,POSITIVE
178I'm going to start finding excuses to hang out in Spring Valley so I don't feel bad driving across town for a meal. Wow, what a variety! My sister and
,POSITIVE
179Wow. If you find yourself in the Phoenix airport with even a small layover, find this coffee shop. Some of the best I've ever had. Not fast service, but so
,POSITIVE
180V Refine is two minutes from my house and I usually get pedicures when I go--Helen is really good, so you should request her if you go.  The staff
,POSITIVE
181Disappointing Dinner with the family! Expected this place to be good, but was far from it! To start off they weren't even busy to begin with & the service was
,POSITIVE
182Worst service ever can't believe thAt the server would not tell me that a bigger beer was better value. For a sever trying to raise her check average to get
,POSITIVE
183The drive thru line is getting faster. Today we tried the vanilla creme frappachino, it was sweet and taste like a vanilla ice cream made into a shake but not
,POSITIVE
184Our last morning in Vegas (Tuesday) my husband and I wanted to eat at a buffet up in another hotel however we ran short of time and chose to eat
,POSITIVE
185This place is exactly what everyone else has said...good old down home country cooking.  When we first stepped in I felt like I was in a horror film...the little
,POSITIVE
186I can't go beyond.... HOLY MOTHER THERESA!  They really treat you like royalty.  We had a suite overlooking the lake... you know, THE LAKE... and it was absolutely
,POSITIVE
187Gourmet food at a  Diner...the Butter Burger was great and also the Flatbread, but most of all the beer selection was a treat.
,POSITIVE
188We ate here a few weeks ago, for our wedding anniversary. It was a Tuesday, and we just wanted someplace to get a nice bite to eat, without long lines
,POSITIVE
189The staff and food are amazing! The food always comes out hot and fast. So far we have had the costa and southwest burrito, French toast, Toluca brizza and biscuits
,POSITIVE
190I bought a coupon deal online  as I got 2 tickets, 2 drinks and a big Ole' boy of popcorn.  Free refills on drinks and popcorn which was
,POSITIVE
191Love South Mountain Vet Clinic.  I've been taking my shih tzu Bella there ever since I moved to the Valley back in 2008 and have never had any complaints
,POSITIVE
192I love the trifecta 3 seasoning combo w/ shrimp and snow crab! Calamari sticks are tasty as well. My gf and I eat there at least twice a month:)
,POSITIVE
193I used to go to the LA on Power and Germann and genuinely liked it.  I recently moved to Scottsdale and this gym is only a mile from my
,POSITIVE
194I pretty much hate going into this store. The prices are cheap, but man the employees are RUDE. It's like they're trying to ignore you the entire time and get
,POSITIVE
195Go to Veritas if you like toasted white wonderbread and dry salty balls of meat. The microwaved French fries were amazing. If you're not into any of that, they have
,POSITIVE
196Anybody who doesn't give this place 5 stars was either drunk as a skunk when they went there and therefore couldn't enjoy the food or just doesn't like good fresh
,POSITIVE
197Stopped in at Cunningham Salon Organic on a whim and walked out very, very pleased. I was so impressed with the quality of products that were available and level of
,POSITIVE
198I could eat here everyday!!!!  Small but quaint & friendly staff:) gr8 variety &the food is very well prepared. Now, I even hear they serve beer/ wine - wish
,POSITIVE
199Ceiba is doing my hair and makeup for my October wedding and I am thrilled!  During my trial run, she not only did an amazing job and made me
,POSITIVE
200Worst service ever. Definitely will not visit again as the server did not know what beers were in stock, could not explain the happy hour policy and over-charged us on
,POSITIVE
201My wife had eggs benedict that were okay.  I had the Marco Pollo Omelet with a bagel.  It was delicious.  I had to take half of it
,POSITIVE
202This evening we went to get a caramel covered apple.  I asked the older lady with the dyed hair at the counter if they "spun" the apples to shake
,POSITIVE
203This Carl's Jr. location probably has the best service I've ever received at a fast food establishment.  Immediately after entering we were greeted with a cheerful "Welcome to Carl's
,POSITIVE
204I really want to like this Phat Burrito location. I'll even admit that I wish I could like it more than the Southend location, but this one has some serious
,POSITIVE
205This cafe is nice. It sits in the corner of the first floor of the Palazzo. It is my first time coming but it seems like this is setup like
,POSITIVE
206This restaurant is as close to the Thai food I experienced whilst traveling through Thailand.  The flavors are fabulous, the atmosphere and decor lovely.  Lisa, her family and
,POSITIVE
207The Cafe Bellagio may not the best food on the strip, but it's one of the most convenient and prettiest places to eat. Located in the famous Bellagio Conservatory, this
,POSITIVE
208I would give this place a 0 for the horrible service if I could. Food aside, an incident took place today where one of my parents friend slipped on the
,POSITIVE
209My first experience here was not the best due to a mistake that made my three pieces of chocolate cost $28. Although my first impression wasn't the best, the owner
,POSITIVE
210Probably one of the worst Chipotles I have ever been to. I've had so many BAD experiences that I needed to write a review. Always running out of guacamole, lemons
,POSITIVE
211The Mission ... where I fell in loved with my new favorite drink ... AVOCADO Margarita.    When I saw this on the menu it was like huh?
,POSITIVE
212Valhalla Med Spa did an awesome job treating my acne.  Through micropeels and a VI Peel I look and feel 100 percent better, thanks to Lynette and Melanie. 
,POSITIVE
213BounceU is the new party hot-spot for kids as we attended 3 parties over the last 2 weeks.  They also have daily bounce hours for a fee.  The
,POSITIVE
214Best facial I have ever had in my life from Shana.  Amazing neck and shoulder massage include - soooooo relaxed and pamperd.  I paid extra for the peel
,POSITIVE
215I hate the San Francisco Giants - Minus 3 stars!I hate drunk Giants fans - Minus 2 stars!I went to a game where the A's actually lost - Minus 10
,POSITIVE
216I LOVE this place.  Their prices are great and the sandwiches are AMAZING.My favorite is the Hook n Ladder.  My least favorite is the tuna (YUCK!!!)They give you
,POSITIVE
217finally went. My mother was craving a chili dog while we were out one day so we decided to go for lunch. I wish that I enjoyed it as much
,POSITIVE
218RUN AWAY...seriously don't even bother with this location!  Experienced some of the absolute worst customer service with the cashier Omega here.  Her line was soooo slow I swear
,POSITIVE
219Excellent sushi. Sophisticated yet comfortable atmosphere and great presentation. Finding this place hidden away on a third floor is a real gem.
,POSITIVE
220Ultimately disappointed. The food is good but just good. One would expect much better quality food with the prices Panchos lists. The building itself is very nicely setup and decorated.
,POSITIVE
221Same owners as Cheesecake Factory (I used to work there!) and just as good.  The service is always great and the food is better!  Reasonably priced, especially for
,POSITIVE
222Worst food I've eaten. California chicken tasted like it came straight from a microwave and the 10 oz steak was over cooked and did not have any taste. The baked
,POSITIVE
223A board/card gamer's heaven and an awesome place to go to have drinks or hot chocolate during the winter and play a few board games with your friends. The staff
,POSITIVE
224Woohoo!! This is one of my favorite restaurants!! Best salmon ever!! The bar is a ton of fun and everyone seems to know each other. The food is awesome, love
,POSITIVE
